Kg_Fuel;Trim tank  X-arm;T_MOMENT_X
50;58,817;2940,85
100;58,817;5881,7
150;58,817;8822,55
200;58,81097452;11762,1949
250;58,80396815;14700,99204
300;58,79696178;17639,08854
350;58,80187898;20580,65764
400;58,81143312;23524,57325
450;58,82098726;26469,44427
500;58,83109554;29415,54777
550;58,8416051;32362,8828
600;58,85211465;35311,26879
650;58,86220382;38260,43248
700;58,87175796;41210,23057
750;58,8813121;44160,98408
800;58,89038854;47112,31083
850;58,89835032;50063,59777
900;58,9063121;53015,68089
950;58,91407006;55968,36656
1000;58,92075796;58920,75796
1050;58,92744586;61873,81815
1100;58,93412102;64827,53312
1150;58,94017197;67781,19777
1200;58,94622293;70735,46752
1250;58,95227389;73690,34236
1300;58,95776433;76645,09363
1350;58,96317834;79600,29076
1400;58,96859236;82556,0293
1450;58,9737707;85511,96752
1500;58,97886624;88468,29936
1550;58,98396178;91425,14076
1600;58,98924841;94382,79745
1650;58,99466242;97341,19299
1700;59,00007643;100300,1299
1750;59,00563694;103259,8646
1800;59,01136943;106220,465
1850;59,01710191;109181,6385
1900;59,02303822;112143,7726
1950;59,02940764;115107,3449
2000;59,03577707;118071,5541
2050;59,04231847;121036,7529
2100;59,04964331;124004,251
2150;59,05696815;126972,4815
2200;59,06431847;129941,5006
2250;59,07228025;132912,6306
2300;59,08024204;135884,5567
2350;59,08820382;138857,279
